Project Code,Title,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
P-LY-E00-002,Libya - Emergency Support to the Affected Regions and Devastated Population in the Aftermath of Storm Daniel and Floods,"760,953.93",Libyan Arab Jamahiriya,13 Oct 2023,Implementation,Special Relief Funds,Water Supply & Sanitation,Sovereign
P-LY-K00-002,Libya - Support to implementation of the integrated financial management and information system (IFMIS),"300,000.00",Libyan Arab Jamahiriya,12 Oct 2023,Approved,Middle Income Countries Fund,Multi-Sector,Sovereign
P-BI-E00-002,Burundi - Water Sector and Climate Resilience Building Support Programme (PASEREC),"10,000,000.00",Burundi,05 Oct 2023,Approved,Transition Support Facility,Water Supply & Sanitation,Sovereign
P-GM-KA0-011,Gambia - Public Financial Management and Economic Reform Program (PFM-ERP) - Phase I ,"10,000,000.00",Gambia,03 Oct 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-MA-I00-023,Morocco - Emergency assistance for Al Haouz earthquake victims,"760,953.93",Morocco,02 Oct 2023,Implementation,Special Relief Funds,Social,Sovereign
P-SO-KF0-015,Somalia - Institutional Support for Economic Governance Project (ISEGP),"10,000,000.00",Somalia,02 Oct 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-RW-IA0-006,Rwanda - Centre of Excellence for Aviation Skills (CEAS) Project,"18,000,000.00",Rwanda,29 Sep 2023,Approved,African Development Fund,Social,Sovereign
P-TN-K00-021,Tunisia - Support project for the General Control of Finance (PACGF),"280,000.00",Tunisia,28 Sep 2023,Approved,Middle Income Countries Fund,Multi-Sector,Sovereign
,,,,,,,,
P-MA-BB0-005,Morocco - OCP Corporate Loan III,"114,143,089.78",Morocco,20 Sep 2023,Approved,African Development Bank,"Industry, Minning & Quarrying",Non Sovereign
P-EG-IB0-009,Egypt - Andalusia Egypt Holding,"19,602,668.98",Egypt,20 Sep 2023,Approved,African Development Bank,Social,Non Sovereign
P-MR-K00-019,Mauritania - Public Enterprise Governance Support Project (PEGSP),"6,000,000.00",Mauritania,19 Sep 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-GM-I00-003,Gambia - Vulnerable Youth and Women Support Project,"5,000,000.00",Gambia,14 Sep 2023,Approved,African Development Fund,Social,Sovereign
P-Z1-C00-099,Multinational - Project 2 of the Programme to Strengthen Resilience to Food and Nutrition Insecurity in the Sahel (P2-P2RS),"12,500,000.00",Multinational,14 Sep 2023,Approved,African Development Fund,Environment,Sovereign
P-Z1-FA0-227,Multinational - Crossboundary Energy Access Platform II  - Productive use of energy technical assistance,"763,405.40",Multinational,14 Sep 2023,Approved,Sustainable Energy Fund for Africa,Power,Sovereign
P-ET-FA0-020,Ethiopia - Eastern Ethiopia Electricity Grid Reinforcement Project,"40,000,000.00",Ethiopia,13 Sep 2023,Approved,African Development Fund,Power,Sovereign
P-MZ-KA0-008,Mozambique - Institutional Support Project for Business Environment and Governance (ISP-BEG),"5,000,000.00",Mozambique,13 Sep 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-MZ-KA0-007,"Mozambique - Economic Acceleration and Governance Support Programme, Phase I (EAGSP)","15,000,000.00",Mozambique,13 Sep 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-CF-FA0-006,Central African Republic - Strengthening the institutional capacity for the Central African Republic electricity regulator,"466,239.52",Central African Republic,12 Sep 2023,Approved,Fund for African Private Sector Assistance,Power,Non Sovereign
P-Z1-FA0-198,Multinational - Crossboundary Energy Access Platform II,"7,583,110.90",Multinational,11 Sep 2023,Approved,Sustainable Energy Fund for Africa,Power,Non Sovereign
P-CF-IE0-005,"Central African Republic - Support Program for the Reconstruction of Basic Communities, Phase 2 (PARCB-2)","10,101,176.00",Central African Republic,06 Sep 2023,Approved,Transition Support Facility,Social,Sovereign
P-CF-KF0-008,Central African Republic - Project to support revenue mobilisation and transparency of development policies (PAMRET),"4,500,000.00",Central African Republic,06 Sep 2023,Approved,Transition Support Facility,Multi-Sector,Sovereign
P-MU-KF0-002,"Mauritius - Environment, Social and Governance Support Project","150,000.00",Mauritius,21 Aug 2023,Approved,Middle Income Countries Fund,Multi-Sector,Sovereign
P-CM-IA0-002,Cameroon - Project to Promote Entrepreneurship and Develop Skills for industrialisation (PEAC),"52,264,894.96",Cameroon,14 Jul 2023,Approved,African Development Bank,Social,Sovereign
P-GM-FA0-004,The Gambia - The Gambia Electricity System Rehabilitation and Expansion Project (GESREP),"15,000,000.00",Gambia,14 Jul 2023,Approved,African Development Fund,Power,Sovereign
P-LR-HB0-003,Liberia - Program for Advancing Youth Entrepreneurship Investment (PAYEI) - Project A: Liberian Youth Entrepreneurship Investment Bank,"12,000,000.00",Liberia,14 Jul 2023,Approved,African Development Fund,Finance,Sovereign
P-Z1-C00-098,Republic of Chad - Project 2 of The Programme to Strengthen Resilience to Food and Nutrition Insecurity in The Sahel (P2-P2RS),"37,500,000.00",Multinational,14 Jul 2023,Approved,African Development Fund,Environment,Sovereign
P-Z1-C00-100,Gambia - Project 2 of The Programme to Strengthen Resilience to Food and Nutrition Insecurity in The Sahel (P2-P2RS),"12,500,000.00",Multinational,14 Jul 2023,Implementation,African Development Fund,Environment,Sovereign
P-GN-AA0-026,Guinea - Project to Support Agropastoral Development Digitisation and Market Access in Guinea (PADDAMAG),"21,000,000.00",Guinea,14 Jul 2023,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
,,,,,,,,
P-KE-FA0-022,Kenya - Transmission Network Improvement Project,"44,983,100.27",Kenya,12 Jul 2023,Approved,African Development Bank,Power,Sovereign
P-TN-AA0-031,Tunisia - Support Project for the Inclusive and Sustainable Development of the Cereal Sector (PADIDFIC),"64,857,700.27",Tunisia,12 Jul 2023,Implementation,African Development Bank,Agriculture and Rural Development,Sovereign
P-NE-E00-004,Niger - Project to support climate-change-resilient drinking water and sanitation services in Niamey and Tillaberi (PASEPA),"1,245,663.96",Niger,10 Jul 2023,Approved,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-GW-I00-008,Guinea Bissau - Youth and Women Entrepreneurship and SME Development Lusophone Compact Facility Phase 1,"6,000,000.00",Guinea-Bissau,07 Jul 2023,Approved,African Development Fund,Social,Sovereign
P-CI-GB0-005,Côte d'Ivoire - E-Government Strengthening Support Project (PARAE),"60,422,960.73",Côte d'Ivoire,05 Jul 2023,Approved,African Development Bank,Communications,Sovereign
P-MA-IA0-008,Morocco - Support Programme for the Generalisation of Social Coverage for better Employability (PAGCS) - Phase II,"120,401,121.59",Morocco,05 Jul 2023,Approved,African Development Bank,Social,Sovereign
P-BJ-EBC-003,Benin - Secondary Towns Stormwater Drainage Programme (PAPVS),"97,471,887.06",Benin,05 Jul 2023,Implementation,African Development Bank,Water Supply & Sanitation,Sovereign
P-ET-AA0-020,Ethiopia - Climate Resilient Wheat Value Chain Development Project (CREW),"40,000,000.00",Ethiopia,30 Jun 2023,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
P-TG-IZ0-004,Togo - Project to strengthen social cohesion in Togo,"1,000,000.00",Togo,30 Jun 2023,Approved,Transition Support Facility,Social,Sovereign
P-RW-E00-013,Rwanda - Sustainable and Resilient Water and Sanitation Program - Sector Budget Support,"75,000,000.00",Rwanda,30 Jun 2023,Implementation,African Development Fund,Water Supply & Sanitation,Sovereign
P-LR-AAD-002,Liberia - Scaling up the participation of SMEs in the secondary wood processing industry (Phase II),"1,000,000.00",Liberia,30 Jun 2023,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
P-Z1-K00-140,Multinational - Streamlining diaspora investment to catalyze private investments and reduce vulnerability (SDI4PIC-VR),"3,000,000.00",Multinational,30 Jun 2023,Approved,Transition Support Facility,Multi-Sector,Sovereign
P-SD-I00-007,Sudan - Support to the Humanitarian and Food Security Response,"751,840.13",Sudan,29 Jun 2023,Approved,Special Relief Funds,Social,Sovereign
P-NG-K00-011,Nigeria - Abia State Integrated Infrastructure Development Project (ABSIIDP) – Phase I (ROADS),"75,184,012.87",Nigeria,21 Jun 2023,Approved,African Development Bank,Multi-Sector,Sovereign
P-CD-AA0-022,"Democratic Republic of Congo - Emergency aid for victims of landslides and flooding in Kalehe territory, South Kivu province","744,634.91","Congo, the Democratic Republic of the",16 Jun 2023,Implementation,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-Z1-KF0-068,Multinational - Capacity Development for Africa’s Structural Transformation- Institutional Support To The African Capacity Building Foundation,"5,000,000.00",Multinational,15 Jun 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-Z1-AA0-154,Multinational - Leveraging digital platforms for emergency preparedness and response to fc in the HOA and the GLR,"2,000,000.00",Multinational,15 Jun 2023,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
P-RW-AA0-021,Rwanda - Emergency support to address the disasters that affected northern-western region of Rwanda,"744,634.91",Rwanda,13 Jun 2023,Approved,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-CV-A00-003,Cabo Verde - Emergency Food Production Support Programme (2PAU-CABO VERDE-AEFPF),"8,200,552.72",Cape Verde,09 Jun 2023,Approved,African Development Bank,Agriculture and Rural Development,Sovereign
P-TZ-K00-018,Tanzania - Economic Competitiveness and Social Inclusion Programme (ECSIP) - Phase I,"81,048,365.88","Tanzania, United Republic of",07 Jun 2023,Implementation,African Development Bank,Multi-Sector,Sovereign
,,,,,,,,
P-MA-IBD-012,Morocco - Inclusive Access to Health Infrastructure Support Programme (PAAIIS),"96,967,346.25",Morocco,07 Jun 2023,Approved,African Development Bank,Social,Sovereign
P-CF-I00-006,"Central African Republic - Project to support socio-economic inclusion, entrepreneurship and mobilization of the diaspora","1,000,000.00",Central African Republic,25 May 2023,Approved,Transition Support Facility,Social,Sovereign
P-TG-C00-001,Togo - Project to update and validate Environmental and Social Impact Assessments (ESIAs) for 31 semi-urban centers,"217,837.15",Togo,25 May 2023,Approved,AfricaWater Facility Fund,Environment,Sovereign
P-AO-E00-006,Angola - Coastal Towns Inclusive Sanitation Project Phase 1,"57,255,404.91",Angola,17 May 2023,Approved,African Development Bank,Water Supply & Sanitation,Sovereign
P-Z1-K00-127,Multinational - SADC Trade and Transit Facilitation Project,"4,500,000.00",Multinational,08 May 2023,Approved,African Development Fund,Multi-Sector,Sovereign
P-NG-H00-019,Nigeria - Infrastructure Credit Guarantee Company Limited (Infracredit),"11,299,775.51",Nigeria,03 May 2023,Approved,African Development Bank,Finance,Non Sovereign
P-GH-D00-011,Ghana - Prime Meridian Docks - Takoradi Floating Dock,"17,356,455.19",Ghana,03 May 2023,Approved,African Development Bank,Transport,Non Sovereign
P-MU-FA0-004,Mauritius - Gas Insulated Switchgear Project,"81,909,839.61",Mauritius,26 Apr 2023,Approved,African Development Bank,Power,Sovereign
P-MG-A00-017,Madagascar - Emergency aid in response to Cyclone Freddy,"375,920.06",Madagascar,24 Apr 2023,Approved,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-SS-A00-002,South Sudan - Program to Build Resilience for Food and Nutrition Security in the Horn of Africa through the Africa Disaster Risk Financing Program,"4,300,000.00",South Sudan,18 Apr 2023,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
P-CG-H00-003,Congo - Institutional support project for the modernization of Banque Congolaise de l'Habitat,"486,364.00",Congo,18 Apr 2023,Approved,Middle Income Countries Fund,Finance,Sovereign
P-SS-IA0-002,South Sudan - Entrepreneurship support to refugees and host communities in South Sudan (ESRHC-SS),"1,000,000.00",South Sudan,13 Apr 2023,Approved,Transition Support Facility,Social,Sovereign
P-TG-I00-008,Togo - Project to Support Young and Women Entrepreneurs in Job-Creating Value Chains,"15,239,973.00",Togo,13 Apr 2023,Approved,African Development Fund,Social,Sovereign
P-Z1-KF0-078,Multinational - Strengthening capacity of transition states for effective management of debt,"1,999,800.00",Multinational,13 Apr 2023,Approved,Transition Support Facility,Multi-Sector,Sovereign
P-MZ-A00-007,Mozambique - Project Preparation Facility (PPF) for Agriculture,"1,000,000.00",Mozambique,13 Apr 2023,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
P-KM-K00-012,Comoros - Public Debt Sustainability Support Project (PASDP),"1,000,000.00",Comoros,06 Apr 2023,Approved,Transition Support Facility,Multi-Sector,Sovereign
P-DJ-K00-003,Djibouti - Public Debt Sustainability Support Project (PASDP),"1,000,000.00",Djibouti,06 Apr 2023,Approved,Transition Support Facility,Multi-Sector,Sovereign
P-MG-K00-020,Madagascar - Support Project for the Implementation of the African Continental Free Trade Area in Madagascar,"1,000,000.00",Madagascar,06 Apr 2023,Approved,Transition Support Facility,Multi-Sector,Sovereign
P-MZ-KA0-009,Mozambique - Debt Sustainability Technical Assistance Project,"960,000.00",Mozambique,06 Apr 2023,Approved,Transition Support Facility,Multi-Sector,Sovereign
P-Z1-IA0-033,Multinational - Reducing fragility and improving resilience through the development of entrepreneurship and innovation,"4,950,000.00",Multinational,06 Apr 2023,Approved,Transition Support Facility,Social,Sovereign
,,,,,,,,
P-SL-KF0-013,Sierra Leone - Strenghtening efficiency in public debt management,"1,000,000.00",Sierra Leone,05 Apr 2023,Approved,Transition Support Facility,Multi-Sector,Sovereign
P-TD-K00-016,Chad - Debt and cash management support project,"1,000,000.00",Chad,05 Apr 2023,Implementation,Transition Support Facility,Multi-Sector,Sovereign
P-MW-A00-014,Malawi - Cyclone Freddy Emergency Humanitarian Response,"738,230.76",Malawi,30 Mar 2023,Implementation,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-SC-IAE-001,Seychelles - MIC-Capacity Building for TVET and entrepreneurship,"118,182.00",Seychelles,29 Mar 2023,Approved,Middle Income Countries Fund,Social,Sovereign
P-Z1-H00-098,"Multinational - West African Monetary Institute (Sierra Leone, The Gambia, Liberia and Guinea) - WAMZ Unique Identification (UBI) and Digital Interoperability","6,060,000.00",Multinational,29 Mar 2023,Approved,African Development Fund,Finance,Sovereign
P-Z1-DB0-277,Djibouti - Nagad-Loyada/Lowyaddo-Borama Road Phase 1 Upgrading Project,"21,500,000.00",Multinational,29 Mar 2023,Approved,African Development Fund,Transport,Sovereign
P-Z1-DB0-251,Somalia - Nagad-Loyada/Lowyaddo-Borama Road Phase 1 Upgrading Project,"33,312,073.00",Multinational,29 Mar 2023,Approved,African Development Fund,Transport,Sovereign
P-MU-K00-009,Mauritius - Economic Competitiveness and Resilience Support Program (ECRSP),"190,238,482.96",Mauritius,29 Mar 2023,Approved,African Development Bank,Multi-Sector,Sovereign
P-MZ-C00-003,Mozambique - Emergency Humanitarian Relief Assistance for Tropical Cyclone Freddy,"753,318.37",Mozambique,24 Mar 2023,Approved,Special Relief Funds,Environment,Sovereign
P-SD-AAG-008,Sudan - Technical assistance and capacity building - DAL group,"798,000.00",Sudan,23 Mar 2023,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
P-LR-H00-008,Liberia - Payments Infrastructure and Systems Upgrade,"2,910,000.00",Liberia,17 Mar 2023,Approved,African Development Fund,Finance,Sovereign
P-KE-IA0-005,Kenya - Integrated Mechanisms for Poverty Reduction and Sustainable Education (IMPRESED) Project,"12,789,000.00",Kenya,13 Mar 2023,Approved,African Development Fund,Social,Sovereign
P-RW-KF0-007,Rwanda - Support for Sustainable and Inclusive Private Sector Development,"659,358.77",Rwanda,13 Mar 2023,Implementation,Fund for African Private Sector Assistance,Multi-Sector,Non Sovereign
P-Z1-KF0-066,Multinational - Institutional Support Project: Enhancing Regional Financial Integration in West Africa,"5,000,000.00",Multinational,09 Mar 2023,Implementation,African Development Fund,Multi-Sector,Sovereign
P-KE-HAB-037,Kenya - Family Bank Limited (FBL) - USD 30 million trade & SME finance facility,"14,915,491.23",Kenya,08 Mar 2023,Approved,African Development Bank,Finance,Non Sovereign
P-KE-HAB-040,Kenya - Family Bank Limited (FBL),"7,533,183.67",Kenya,08 Mar 2023,Approved,African Development Bank,Finance,Non Sovereign
P-MU-HAB-008,Mauritius - Mauritius Commercial Bank (MCB),"112,220,593.62",Mauritius,08 Mar 2023,Implementation,African Development Bank,Finance,Non Sovereign
P-ER-FA0-001,Eritrea - Dekemhare 30 MW Solar PV Project,"38,400,000.00",Eritrea,01 Mar 2023,Approved,African Development Fund,Power,Sovereign
P-TN-AA0-029,Tunisia - Technical support project for the digitalization and innovation of the cereal industry,"300,000.00",Tunisia,20 Feb 2023,Approved,Middle Income Countries Fund,Agriculture and Rural Development,Sovereign
P-MR-AA0-010,Mauritania - PPF Inclusive livestock sector development project,"569,415.00",Mauritania,17 Feb 2023,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
,,,,,,,,
P-SZ-I00-001,Eswatini - Technical Assitance for Gender Policy Implementation,"100,000.00",Eswatini,03 Feb 2023,Approved,Middle Income Countries Fund,Social,Sovereign
P-CI-KA0-013,Côte d'Ivoire - Economic and Social Reform Support Programme - Phase III (PARES III),"26,578,136.87",Côte d'Ivoire,24 Jan 2023,Approved,African Development Bank,Multi-Sector,Sovereign
P-Z1-HAA-106,Regional - Ecowas Bank for Investment and Development (EBID),"78,666,942.64",Multinational,24 Jan 2023,Implementation,African Development Bank,Finance,Non Sovereign
P-AO-DZ0-001,Angola - Feasibility Study of Shikolondo Nzagi Dundo Road and Border Infrastructure at Shikolondo,"1,190,243.02",Angola,11 Jan 2023,Approved,NEPAD Infrastructure Project Preparation Facility,Transport,Sovereign
P-EG-D00-020,Egypt - Navigation Line between Lake Victoria And Mediterranean Sea - Feasibility Study Phase 2 - Part1,"1,506,636.73",Egypt,11 Jan 2023,Approved,NEPAD Infrastructure Project Preparation Facility,Transport,Sovereign
P-UG-IB0-008,Uganda - Support to the National Sudan Ebola Virus Disease Preparedness and Response Plan,"749,271.33",Uganda,22 Dec 2022,Approved,Special Relief Funds,Social,Sovereign
P-MA-EAA-006,Morocco - Technical assistance for the technical assessment of dam and interconnection projects,"158,647.50",Morocco,21 Dec 2022,Implementation,Middle Income Countries Fund,Water Supply & Sanitation,Sovereign
P-KE-KF0-010,Kenya - Institutional support to the Auditor General Office,"200,000.00",Kenya,20 Dec 2022,Approved,Middle Income Countries Fund,Multi-Sector,Sovereign
P-BF-AA0-032,"Burkina Faso - Integrated Maize, Soybean, Poultry and Fish Chain Development and Resilience Building Project","28,000,000.00",Burkina Faso,16 Dec 2022,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
P-BF-E00-020,"Burkina Faso – Project to Promote Hygiene, Drinking Water Supply and Sanitation, And Build the Population’s Resilience to Covid-19 And Climate Change in Rural Areas In Eight (8) Provinces (PHEPA – 8P)","3,882,848.90",Burkina Faso,16 Dec 2022,Approved,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-SZ-A00-006,"Eswatini - Mkhondvo-Ngwavuma Water Augmentation Program, Phase I, Part B (MNWAP-1B)","91,512,155.29",Eswatini,16 Dec 2022,Approved,African Development Bank,Agriculture and Rural Development,Sovereign
P-KE-IB0-002,Kenya - East Africa’s Centres of Excellence For Skills and Tertiary Education In Biomedical Sciences – Phase I,"14,000,000.00",Kenya,16 Dec 2022,Approved,African Development Fund,Social,Sovereign
P-NG-B00-016,Nigeria - BUA Cement PLC,"75,331,836.74",Nigeria,16 Dec 2022,Approved,African Development Bank,"Industry, Minning & Quarrying",Non Sovereign
P-SN-AAE-004,Senegal - National Integrated Livestock Development Programme - Phase 1 (PNDIES-P1),"32,228,172.18",Senegal,16 Dec 2022,Approved,African Development Bank,Agriculture and Rural Development,Sovereign
P-TZ-FAB-003,Tanzania - Kakono Hydropower Project,"122,792,742.10","Tanzania, United Republic of",16 Dec 2022,Approved,African Development Bank,Power,Sovereign
P-GM-DB0-006,The Gambia - Banjul Port 4th Expansion Project,"15,000,000.00",Gambia,16 Dec 2022,Approved,African Development Fund,Transport,Sovereign
P-NE-E00-005,"Niger - Project to support Resilient Drinking Water and Sanitation Services in Rural Areas in Maradi, Tahoua, Tillaberi and Zinder Regions (PASEPAR-MR)","5,787,154.11",Niger,16 Dec 2022,Approved,African Development Fund,Water Supply & Sanitation,Sovereign
P-Z1-DB0-246,"Multinational - Kenya – South Sudan Road Corridor Lesseru –Kitale and Morpus – Lokichar Road Upgrading Project, Phase I","152,192,064.87",Multinational,16 Dec 2022,Approved,African Development Bank,Transport,Sovereign
P-ML-E00-011,Mali - Climate-Change and Covid-19-Resilient Drinking Water Supply And Sanitation Support Project In The Kayes Region And Kati Circle,"3,974,856.42",Mali,16 Dec 2022,Approved,,Water Supply & Sanitation,Sovereign
P-ML-AA0-041,Mali - Emergency Food & Nutrition Security and Production Project (PUPSAN/AEFPF),"5,500,000.00",Mali,16 Dec 2022,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
,,,,,,,,
P-TG-FF0-003,Togo - Project to Electrify 317 Rural Localities in Togo via Mini-Solar Networks - Preparatory Phase,"2,857,730.64",Togo,15 Dec 2022,Approved,African Development Fund,Power,Sovereign
P-GW-A00-010,Guinea-Bissau - Emergency Food Security Support Project (AEFPF),"5,000,000.00",Guinea-Bissau,15 Dec 2022,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
P-Z1-C00-089,Senegal - Project 2 of the Food and Nutrition Insecurity Resilience Programme in the Sahel (P2-P2RS),"5,520,000.00",Multinational,15 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-Z1-C00-090,Niger - Project 2 of the Food and Nutrition Insecurity Resilience Programme in the Sahel (P2-P2RS),"25,000,000.00",Multinational,15 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-Z1-C00-091,Mali - Project 2 of the Food and Nutrition Insecurity Resilience Programme in the Sahel (P2-P2RS),"37,500,000.00",Multinational,15 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-Z1-C00-094,Burkina Faso - Project 2 of the Food and Nutrition Insecurity Resilience Programme in the Sahel (P2-P2RS),"40,850,000.00",Multinational,15 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-Z1-C00-092,Guinea - Project 2 of the Food and Nutrition Insecurity Resilience Programme in the Sahel (P2-P2RS),"12,500,000.00",Multinational,15 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-Z1-C00-093,Togo - Project 2 of the Food and Nutrition Insecurity Resilience Programme in the Sahel (P2-P2RS),"7,500,000.00",Multinational,15 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-Z1-C00-072,Multinational - Project 2 of the Program to Strengthen Resilience to Food and Nutritional Insecurity in the Sahel (P2-P2RS),"5,000,000.00",Multinational,15 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-GN-FA0-019,Guinea - Digitization of Guinea regulatory processes,"300,682.59",Guinea,15 Dec 2022,Implementation,Fund for African Private Sector Assistance,Power,Non Sovereign
P-TN-FF0-004,Tunisia - Kairouan Solar PV Project,"19,342,439.02",Tunisia,15 Dec 2022,Approved,African Development Bank,Power,Non Sovereign
P-Z1-C00-075,Zambia - Programme for Integrated Development and Adaptation to Climate Change in the Zambezi River Basin (PIDACC ZAMBEZI),"7,040,000.00",Multinational,14 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-Z1-C00-095,Mozambique - Programme for Integrated Development and Adaptation to Climate Change In The Zambezi River Basin (PIDACC ZAMBEZI),"2,160,000.00",Multinational,14 Dec 2022,Approved,,Environment,Sovereign
P-Z1-C00-096,Multinational - Programme for Integrated Development and Adaptation to Climate Change in the Zambezi River Basin (PIDACC ZAMBEZI),"3,500,000.00",Multinational,14 Dec 2022,Approved,African Development Fund,Environment,Sovereign
P-TD-F00-004,Chad - Electricity Sector Support Project in Chad (PASET),"14,978,000.00",Chad,13 Dec 2022,Approved,African Development Fund,Power,Sovereign
P-Z1-GB0-036,"Multinational - Horn of Africa Digital Market Integration (HDMI) Project, Phase 1","6,150,000.00",Multinational,13 Dec 2022,Approved,African Development Fund,Communications,Sovereign
P-ML-AA0-037,Mali - Grassroots Community Resilience Building Support Project (PARCB),"41,300,000.00",Mali,13 Dec 2022,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
P-CM-KF0-007,Cameroon - Public Finance Governance Support Project (PAGFIP),"12,420,000.00",Cameroon,12 Dec 2022,Approved,African Development Fund,Multi-Sector,Sovereign
P-NG-EAZ-007,Nigeria - Komadugu Yobe strategic action plan- additional  environmental and social impact assessment studies,"299,887.34",Nigeria,12 Dec 2022,Implementation,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-SD-AAB-005,Sudan - Emergency Wheat Production Project (SEWPP),"56,780,000.00",Sudan,09 Dec 2022,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
,,,,,,,,
P-BF-AA0-037,Burkina Faso - Emergency Project for Increasing Agricultural Production in Burkina Faso (PURPA-BF)  - (AEFPF),"29,600,000.00",Burkina Faso,08 Dec 2022,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
P-SN-G00-004,Senegal - Digital Technology Park - Additional Financing,"4,108,476.91",Senegal,08 Dec 2022,Approved,African Development Bank,Communications,Sovereign
P-SO-IA0-002,"Somalia - Skills for Employability, Inclusion and Productivity Project","5,370,000.00",Somalia,08 Dec 2022,Approved,African Development Fund,Social,Sovereign
P-SO-FA0-003,Somalia - Households' Access to Renewable Energy and Advanced Cooking Technologies (HAREACT),"5,750,000.00",Somalia,08 Dec 2022,Approved,African Development Fund,Power,Sovereign
P-Z1-IBE-029,"Multinational (Burkina-Faso, Niger and Mali) - ECOWAS Quality Health Infrastructure For Tackling Neglected Tropical Diseases","5,720,000.00",Multinational,08 Dec 2022,Implementation,African Development Fund,Social,Sovereign
P-NA-E00-008,Namibia -  City of Otjiwarongo Waste Water Treatment and Solid Waste Management System PPP Transaction Advisers,"1,172,462.20",Namibia,07 Dec 2022,Approved,Middle Income Countries Fund,Water Supply & Sanitation,Sovereign
